Generation/Run,G.A .Avg Accuracy,Run,PSO Avg Accuracy,No of Iterations
1,51.81,1,91.26,50
2,60.48,2,92.45,50
3,77.92,3,95.40,50
4,77.92,4,93.71,50
5,81.97,5,88.88,50
6,99.01,6,94.21,50
7,99.01,7,91.62,50
8,99.01,8,92.82,50
9,99.01,9,96.70,50
10,99.01,10,92.72,50
11,99.67,11,92.29,50
12,100.00,12,88.63,50
13,100.00,13,91.39,50
14,100.00,14,88.26,50
15,100.00,15,91.15,50
16,100.00,16,94.83,50
17,100.00,17,94.19,50
18,100.00,18,95.85,50
19,100.00,19,95.40,50
20,100.00,20,96.87,50
21,100.00,21,93.03,50
22,100.00,22,96.65,50
23,100.00,23,94.67,50
24,100.00,24,93.71,50
25,100.00,25,90.23,50
26,100.00,26,89.88,50
27,100.00,27,94.81,50
28,100.00,28,93.95,50
29,100.00,29,91.77,50
30,100.00,30,97.85,50
31,100.00,31,96.08,50
32,100.00,32,92.00,50
33,100.00,33,93.15,50
34,100.00,34,95.99,50
35,100.00,35,94.86,50
36,100.00,36,94.52,50
37,100.00,37,95.82,50
38,100.00,38,91.30,50
39,100.00,39,90.83,50
40,100.00,40,92.42,50
41,100.00,41,96.25,50
42,100.00,42,92.11,50
43,100.00,43,94.43,50
44,100.00,44,97.36,50
45,100.00,45,92.79,50
46,100.00,46,95.40,50
47,100.00,47,93.10,50
48,100.00,48,92.56,50
49,100.00,49,95.53,50
50,100.00,50,95.85,50
Average Accuracy,96.90,,93.55,
,,,,
